Time (s), AI0 (V), AI1 (V) 
0.000000E+0,1.781787E+0,1.111760E-1
1.000000E-3,1.781787E+0,1.124909E-1
2.000000E-3,1.781458E+0,1.128197E-1
3.000000E-3,1.780801E+0,1.118335E-1
4.000000E-3,1.780801E+0,1.108473E-1
5.000000E-3,1.780801E+0,1.098611E-1
6.000000E-3,1.780801E+0,1.088749E-1
7.000000E-3,1.780801E+0,1.075600E-1
8.000000E-3,1.780472E+0,1.052589E-1
9.000000E-3,1.779815E+0,1.046014E-1
1.000000E-2,1.779815E+0,1.046014E-1
1.100000E-2,1.779486E+0,1.049301E-1
1.200000E-2,1.779486E+0,1.055876E-1
1.300000E-2,1.779486E+0,1.072312E-1
1.400000E-2,1.779157E+0,1.075600E-1
1.500000E-2,1.779815E+0,1.092036E-1
1.600000E-2,1.778171E+0,1.101898E-1
1.700000E-2,1.779815E+0,1.115047E-1
1.800000E-2,1.778829E+0,1.111760E-1
1.900000E-2,1.778829E+0,1.121622E-1
2.000000E-2,1.779157E+0,1.111760E-1
2.100000E-2,1.778171E+0,1.108473E-1
2.200000E-2,1.778171E+0,1.078887E-1
2.300000E-2,1.777842E+0,1.072312E-1
2.400000E-2,1.777842E+0,1.059163E-1
2.500000E-2,1.777842E+0,1.046014E-1
2.600000E-2,1.776856E+0,1.032865E-1
2.700000E-2,1.776856E+0,1.032865E-1
2.800000E-2,1.776856E+0,1.042727E-1
2.900000E-2,1.776528E+0,1.049301E-1
3.000000E-2,1.776528E+0,1.062451E-1
3.100000E-2,1.776856E+0,1.075600E-1
3.200000E-2,1.776856E+0,1.082174E-1
3.300000E-2,1.776528E+0,1.098611E-1
3.400000E-2,1.776199E+0,1.118335E-1
3.500000E-2,1.776199E+0,1.111760E-1
3.600000E-2,1.775870E+0,1.111760E-1
3.700000E-2,1.775870E+0,1.101898E-1
3.800000E-2,1.775541E+0,1.085462E-1
3.900000E-2,1.775870E+0,1.072312E-1
4.000000E-2,1.775541E+0,1.062451E-1
4.100000E-2,1.775213E+0,1.046014E-1
4.200000E-2,1.775213E+0,1.036152E-1
4.300000E-2,1.774884E+0,1.026290E-1
4.400000E-2,1.774884E+0,1.026290E-1
4.500000E-2,1.775870E+0,1.036152E-1
4.600000E-2,1.774884E+0,1.042727E-1
4.700000E-2,1.774555E+0,1.055876E-1
4.800000E-2,1.774555E+0,1.069025E-1
4.900000E-2,1.774884E+0,1.082174E-1
5.000000E-2,1.774884E+0,1.095324E-1
5.100000E-2,1.773898E+0,1.101898E-1
5.200000E-2,1.774884E+0,1.108473E-1
5.300000E-2,1.773240E+0,1.101898E-1
5.400000E-2,1.774226E+0,1.088749E-1
5.500000E-2,1.773569E+0,1.078887E-1
5.600000E-2,1.773898E+0,1.069025E-1
5.700000E-2,1.773569E+0,1.052589E-1
5.800000E-2,1.774226E+0,1.039439E-1
5.900000E-2,1.773240E+0,1.019716E-1
6.000000E-2,1.773569E+0,1.009854E-1
6.100000E-2,1.773240E+0,9.999917E-2
6.200000E-2,1.773898E+0,9.901297E-2
6.300000E-2,1.772254E+0,9.704059E-2
6.400000E-2,1.773240E+0,9.473947E-2
6.500000E-2,1.773569E+0,9.309582E-2
6.600000E-2,1.772911E+0,9.112343E-2
6.700000E-2,1.773240E+0,8.882231E-2
6.800000E-2,1.773240E+0,8.652120E-2
6.900000E-2,1.772911E+0,8.487754E-2
7.000000E-2,1.772254E+0,8.290516E-2
7.100000E-2,1.772911E+0,8.159023E-2
7.200000E-2,1.772254E+0,7.994658E-2
7.300000E-2,1.773240E+0,7.863166E-2
7.400000E-2,1.772911E+0,7.863166E-2
7.500000E-2,1.772254E+0,7.797419E-2
7.600000E-2,1.772254E+0,7.863166E-2
7.700000E-2,1.772583E+0,7.896039E-2
7.800000E-2,1.772911E+0,8.093277E-2
7.900000E-2,1.771268E+0,8.290516E-2
8.000000E-2,1.772583E+0,8.454881E-2
8.100000E-2,1.772254E+0,8.619247E-2
