Time (s), AI0 (V) 
0.000000E+0,9.473819E+0
1.000000E-3,9.471517E+0
2.000000E-3,9.472175E+0
3.000000E-3,9.472832E+0
4.000000E-3,9.472504E+0
5.000000E-3,9.471846E+0
6.000000E-3,9.471846E+0
7.000000E-3,9.472832E+0
8.000000E-3,9.472832E+0
9.000000E-3,9.473490E+0
1.000000E-2,9.471846E+0
1.100000E-2,9.473490E+0
1.200000E-2,9.473161E+0
1.300000E-2,9.472504E+0
1.400000E-2,9.471846E+0
1.500000E-2,9.474147E+0
1.600000E-2,9.471846E+0
1.700000E-2,9.472504E+0
1.800000E-2,9.470860E+0
1.900000E-2,9.471517E+0
2.000000E-2,9.472832E+0
2.100000E-2,9.472832E+0
2.200000E-2,9.469545E+0
2.300000E-2,9.472175E+0
2.400000E-2,9.472504E+0
2.500000E-2,9.472832E+0
2.600000E-2,9.473161E+0
2.700000E-2,9.473819E+0
2.800000E-2,9.471846E+0
2.900000E-2,9.475791E+0
3.000000E-2,9.472832E+0
3.100000E-2,9.471517E+0
3.200000E-2,9.472175E+0
3.300000E-2,9.472504E+0
3.400000E-2,9.471517E+0
3.500000E-2,9.471846E+0
3.600000E-2,9.472832E+0
3.700000E-2,9.471846E+0
3.800000E-2,9.473161E+0
3.900000E-2,9.473490E+0
4.000000E-2,9.472175E+0
4.100000E-2,9.471846E+0
4.200000E-2,9.472504E+0
4.300000E-2,9.473161E+0
4.400000E-2,9.472175E+0
4.500000E-2,9.471846E+0
4.600000E-2,9.472175E+0
4.700000E-2,9.472832E+0
4.800000E-2,9.475134E+0
4.900000E-2,9.471189E+0
5.000000E-2,9.471517E+0
5.100000E-2,9.471846E+0
5.200000E-2,9.471189E+0
5.300000E-2,9.472504E+0
5.400000E-2,9.470860E+0
5.500000E-2,9.472504E+0
5.600000E-2,9.473490E+0
5.700000E-2,9.472175E+0
5.800000E-2,9.472175E+0
5.900000E-2,9.472832E+0
6.000000E-2,9.473161E+0
6.100000E-2,9.473490E+0
6.200000E-2,9.472832E+0
6.300000E-2,9.472504E+0
6.400000E-2,9.472504E+0
6.500000E-2,9.470860E+0
6.600000E-2,9.471846E+0
6.700000E-2,9.473161E+0
6.800000E-2,9.471189E+0
6.900000E-2,9.472832E+0
7.000000E-2,9.472175E+0
7.100000E-2,9.472832E+0
7.200000E-2,9.472504E+0
7.300000E-2,9.472504E+0
7.400000E-2,9.471189E+0
7.500000E-2,9.473161E+0
7.600000E-2,9.473819E+0
7.700000E-2,9.473161E+0
7.800000E-2,9.473490E+0
7.900000E-2,9.472504E+0
8.000000E-2,9.471846E+0
8.100000E-2,9.473161E+0
8.200000E-2,9.471189E+0
8.300000E-2,9.472175E+0
8.400000E-2,9.472175E+0
8.500000E-2,9.473161E+0
8.600000E-2,9.471846E+0
8.700000E-2,9.472175E+0
8.800000E-2,9.471189E+0
8.900000E-2,9.471189E+0
9.000000E-2,9.470531E+0
9.100000E-2,9.471517E+0
9.200000E-2,9.472175E+0
9.300000E-2,9.470860E+0
9.400000E-2,9.470860E+0
9.500000E-2,9.471846E+0
9.600000E-2,9.471517E+0
9.700000E-2,9.471846E+0
9.800000E-2,9.471846E+0
9.900000E-2,9.470531E+0
1.000000E-1,9.471189E+0
1.010000E-1,9.471846E+0
1.020000E-1,9.473819E+0
1.030000E-1,9.470531E+0
1.040000E-1,9.472504E+0
1.050000E-1,9.471517E+0
1.060000E-1,9.471517E+0
1.070000E-1,9.470860E+0
1.080000E-1,9.472504E+0
1.090000E-1,9.471517E+0
1.100000E-1,9.471189E+0
1.110000E-1,9.472175E+0
1.120000E-1,9.470202E+0
1.130000E-1,9.472175E+0
1.140000E-1,9.471189E+0
1.150000E-1,9.472175E+0
1.160000E-1,9.471189E+0
1.170000E-1,9.471846E+0
1.180000E-1,9.471517E+0
1.190000E-1,9.471189E+0
1.200000E-1,9.473161E+0
1.210000E-1,9.472832E+0
1.220000E-1,9.472504E+0
1.230000E-1,9.471517E+0
1.240000E-1,9.472175E+0
1.250000E-1,9.472832E+0
1.260000E-1,9.472504E+0
1.270000E-1,9.469216E+0
1.280000E-1,9.473161E+0
1.290000E-1,9.471846E+0
1.300000E-1,9.473161E+0
1.310000E-1,9.471846E+0
1.320000E-1,9.472832E+0
1.330000E-1,9.471846E+0
1.340000E-1,9.470531E+0
1.350000E-1,9.471517E+0
1.360000E-1,9.471846E+0
1.370000E-1,9.470860E+0
1.380000E-1,9.472175E+0
1.390000E-1,9.472504E+0
1.400000E-1,9.471846E+0
1.410000E-1,9.471846E+0
1.420000E-1,9.472504E+0
1.430000E-1,9.471517E+0
1.440000E-1,9.475134E+0
1.450000E-1,9.474147E+0
1.460000E-1,9.471846E+0
1.470000E-1,9.473161E+0
1.480000E-1,9.471517E+0
1.490000E-1,9.471517E+0
1.500000E-1,9.473161E+0
1.510000E-1,9.471846E+0
1.520000E-1,9.473161E+0
1.530000E-1,9.472504E+0
1.540000E-1,9.472832E+0
1.550000E-1,9.472175E+0
1.560000E-1,9.473161E+0
1.570000E-1,9.471846E+0
