Time (s), AI0 (V) 
0.000000E+0,1.782445E+0
1.000000E-3,1.782116E+0
2.000000E-3,1.782445E+0
3.000000E-3,1.782773E+0
4.000000E-3,1.781787E+0
5.000000E-3,1.781787E+0
6.000000E-3,1.782116E+0
7.000000E-3,1.782116E+0
8.000000E-3,1.781458E+0
9.000000E-3,1.781458E+0
1.000000E-2,1.781130E+0
1.100000E-2,1.781130E+0
1.200000E-2,1.780801E+0
1.300000E-2,1.780801E+0
1.400000E-2,1.780472E+0
1.500000E-2,1.780801E+0
1.600000E-2,1.780801E+0
1.700000E-2,1.780144E+0
1.800000E-2,1.780472E+0
1.900000E-2,1.778829E+0
2.000000E-2,1.780144E+0
2.100000E-2,1.779815E+0
2.200000E-2,1.779815E+0
2.300000E-2,1.779157E+0
2.400000E-2,1.779486E+0
2.500000E-2,1.779157E+0
2.600000E-2,1.779157E+0
2.700000E-2,1.778500E+0
2.800000E-2,1.778500E+0
2.900000E-2,1.778171E+0
3.000000E-2,1.778500E+0
3.100000E-2,1.777842E+0
3.200000E-2,1.778171E+0
3.300000E-2,1.777842E+0
3.400000E-2,1.777514E+0
3.500000E-2,1.777514E+0
3.600000E-2,1.777185E+0
3.700000E-2,1.776199E+0
3.800000E-2,1.776199E+0
3.900000E-2,1.776856E+0
4.000000E-2,1.777185E+0
4.100000E-2,1.775541E+0
4.200000E-2,1.775870E+0
4.300000E-2,1.775541E+0
4.400000E-2,1.775213E+0
4.500000E-2,1.775541E+0
4.600000E-2,1.775213E+0
4.700000E-2,1.774555E+0
4.800000E-2,1.774884E+0
4.900000E-2,1.774226E+0
5.000000E-2,1.774555E+0
5.100000E-2,1.774226E+0
5.200000E-2,1.774226E+0
5.300000E-2,1.774226E+0
5.400000E-2,1.773569E+0
5.500000E-2,1.773240E+0
5.600000E-2,1.773240E+0
5.700000E-2,1.772911E+0
5.800000E-2,1.772583E+0
5.900000E-2,1.772254E+0
6.000000E-2,1.772254E+0
6.100000E-2,1.771597E+0
6.200000E-2,1.771597E+0
6.300000E-2,1.771268E+0
6.400000E-2,1.771597E+0
6.500000E-2,1.770939E+0
6.600000E-2,1.770939E+0
6.700000E-2,1.770610E+0
6.800000E-2,1.770610E+0
6.900000E-2,1.769624E+0
7.000000E-2,1.769295E+0
7.100000E-2,1.768967E+0
7.200000E-2,1.768967E+0
7.300000E-2,1.768638E+0
7.400000E-2,1.768967E+0
7.500000E-2,1.768638E+0
7.600000E-2,1.767981E+0
7.700000E-2,1.767652E+0
7.800000E-2,1.767981E+0
7.900000E-2,1.766994E+0
8.000000E-2,1.766994E+0
8.100000E-2,1.766666E+0
8.200000E-2,1.766337E+0
8.300000E-2,1.766008E+0
8.400000E-2,1.765679E+0
8.500000E-2,1.765679E+0
8.600000E-2,1.764693E+0
8.700000E-2,1.765351E+0
8.800000E-2,1.765351E+0
8.900000E-2,1.764693E+0
9.000000E-2,1.764036E+0
9.100000E-2,1.765022E+0
9.200000E-2,1.763707E+0
9.300000E-2,1.763378E+0
9.400000E-2,1.763050E+0
9.500000E-2,1.763050E+0
9.600000E-2,1.762721E+0
9.700000E-2,1.763050E+0
9.800000E-2,1.762392E+0
9.900000E-2,1.762063E+0
1.000000E-1,1.761406E+0
1.010000E-1,1.761406E+0
1.020000E-1,1.761406E+0
1.030000E-1,1.761077E+0
1.040000E-1,1.759762E+0
1.050000E-1,1.759762E+0
1.060000E-1,1.759433E+0
1.070000E-1,1.759105E+0
1.080000E-1,1.758447E+0
1.090000E-1,1.758447E+0
1.100000E-1,1.758776E+0
1.110000E-1,1.757461E+0
1.120000E-1,1.757132E+0
1.130000E-1,1.757132E+0
1.140000E-1,1.757132E+0
1.150000E-1,1.756475E+0
1.160000E-1,1.755489E+0
1.170000E-1,1.756146E+0
1.180000E-1,1.755817E+0
1.190000E-1,1.755160E+0
1.200000E-1,1.755489E+0
1.210000E-1,1.754503E+0
1.220000E-1,1.755160E+0
1.230000E-1,1.754503E+0
1.240000E-1,1.754174E+0
1.250000E-1,1.753845E+0
1.260000E-1,1.752859E+0
1.270000E-1,1.753845E+0
1.280000E-1,1.752530E+0
1.290000E-1,1.752859E+0
1.300000E-1,1.752530E+0
1.310000E-1,1.752201E+0
1.320000E-1,1.750886E+0
1.330000E-1,1.750886E+0
1.340000E-1,1.751215E+0
1.350000E-1,1.750886E+0
1.360000E-1,1.750229E+0
1.370000E-1,1.750229E+0
1.380000E-1,1.749243E+0
1.390000E-1,1.749243E+0
1.400000E-1,1.748585E+0
1.410000E-1,1.748585E+0
1.420000E-1,1.747928E+0
1.430000E-1,1.748257E+0
1.440000E-1,1.746942E+0
1.450000E-1,1.747599E+0
1.460000E-1,1.746942E+0
1.470000E-1,1.746284E+0
