Time (s), AI0 (V) 
0.000000E+0,4.180462E+0
1.000000E-2,4.181120E+0
2.000000E-2,4.183422E+0
3.000000E-2,4.182436E+0
4.000000E-2,4.180462E+0
5.000000E-2,4.183094E+0
6.000000E-2,4.181120E+0
7.000000E-2,4.182436E+0
8.000000E-2,4.183751E+0
9.000000E-2,4.180462E+0
1.000000E-1,4.182765E+0
1.100000E-1,4.182436E+0
1.200000E-1,4.180791E+0
1.300000E-1,4.184409E+0
1.400000E-1,4.182107E+0
1.500000E-1,4.181778E+0
1.600000E-1,4.182765E+0
1.700000E-1,4.181449E+0
1.800000E-1,4.182765E+0
1.900000E-1,4.182436E+0
2.000000E-1,4.181120E+0
2.100000E-1,4.182107E+0
2.200000E-1,4.184080E+0
2.300000E-1,4.181120E+0
2.400000E-1,4.182436E+0
2.500000E-1,4.181120E+0
2.600000E-1,4.180791E+0
2.700000E-1,4.183422E+0
2.800000E-1,4.179147E+0
2.900000E-1,4.183751E+0
3.000000E-1,4.185396E+0
3.100000E-1,4.181120E+0
3.200000E-1,4.183751E+0
3.300000E-1,4.180791E+0
3.400000E-1,4.180462E+0
3.500000E-1,4.182107E+0
3.600000E-1,4.181778E+0
3.700000E-1,4.181778E+0
3.800000E-1,4.183094E+0
3.900000E-1,4.179805E+0
4.000000E-1,4.183422E+0
4.100000E-1,4.183751E+0
4.200000E-1,4.180791E+0
4.300000E-1,4.183422E+0
4.400000E-1,4.181778E+0
4.500000E-1,4.181778E+0
4.600000E-1,4.184409E+0
4.700000E-1,4.182436E+0
4.800000E-1,4.183094E+0
4.900000E-1,4.182436E+0
5.000000E-1,4.181778E+0
5.100000E-1,4.182436E+0
5.200000E-1,4.182436E+0
5.300000E-1,4.181449E+0
5.400000E-1,4.182436E+0
5.500000E-1,4.181120E+0
5.600000E-1,4.180134E+0
5.700000E-1,4.183422E+0
5.800000E-1,4.180462E+0
5.900000E-1,4.183751E+0
6.000000E-1,4.183094E+0
6.100000E-1,4.180791E+0
6.200000E-1,4.182765E+0
6.300000E-1,4.117316E+0
6.400000E-1,4.096924E+0
6.500000E-1,4.001547E+0
6.600000E-1,3.990035E+0
6.700000E-1,3.958133E+0
6.800000E-1,3.959120E+0
6.900000E-1,3.846969E+0
7.000000E-1,3.814080E+0
7.100000E-1,3.684497E+0
7.200000E-1,3.662462E+0
7.300000E-1,3.582871E+0
7.400000E-1,3.548008E+0
7.500000E-1,3.477626E+0
7.600000E-1,3.463813E+0
7.700000E-1,3.461840E+0
7.800000E-1,3.427635E+0
7.900000E-1,3.332586E+0
8.000000E-1,3.278648E+0
8.100000E-1,3.200373E+0
8.200000E-1,3.180311E+0
8.300000E-1,3.070133E+0
8.400000E-1,3.037573E+0
8.500000E-1,2.944169E+0
8.600000E-1,2.904373E+0
8.700000E-1,2.880364E+0
8.800000E-1,2.819520E+0
8.900000E-1,2.822151E+0
9.000000E-1,2.710987E+0
9.100000E-1,2.695529E+0
9.200000E-1,2.598178E+0
9.300000E-1,2.469912E+0
9.400000E-1,2.463005E+0
9.500000E-1,2.452810E+0
9.600000E-1,2.365983E+0
9.700000E-1,2.358090E+0
9.800000E-1,2.255806E+0
9.900000E-1,2.210419E+0
1.000000E+0,2.178846E+0
1.010000E+0,2.036109E+0
1.020000E+0,2.029202E+0
1.030000E+0,2.032162E+0
1.040000E+0,1.962767E+0
1.050000E+0,1.882847E+0
1.060000E+0,1.887451E+0
